City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Discription
83,Juneau,US,58.3,-134.42,55.99,93,75,10.29,light rain
84,Teseney,ER,15.11,36.66,75.13,84,44,11.43,light rain
85,Requena,ES,39.49,-1.1,75.2,88,0,3.76,clear sky
86,Cabedelo,BR,-6.98,-34.83,71.6,94,40,4.7,scattered clouds
87,Tiarei,PF,-17.53,-149.33,77.0,88,75,5.82,broken clouds
88,Mitsamiouli,KM,-11.38,43.28,73.4,78,20,4.7,few clouds
89,Belyy Yar,RU,53.6,91.39,62.6,77,100,8.95,overcast clouds
90,Grindavik,IS,63.84,-22.43,44.6,87,0,11.41,clear sky
91,Ust-Kishert,RU,57.37,57.25,53.87,86,45,12.84,scattered clouds
92,Elk Plain,US,47.05,-122.4,62.6,100,90,4.7,light rain
93,Susanville,US,40.42,-120.65,75.2,32,90,5.82,haze
94,Methala,IN,10.22,76.22,86.0,79,40,2.24,haze
95,Kuliyapitiya,LK,7.47,80.04,86.0,74,40,10.29,scattered clouds
96,Saint George,US,37.1,-113.58,93.2,16,1,6.93,clear sky
97,Skjervoy,NO,70.03,20.97,58.75,77,100,13.13,overcast clouds
98,Lorengau,PG,-2.02,147.27,86.9,62,18,9.37,few clouds
99,Miyako,JP,39.64,141.95,69.96,89,99,6.02,overcast clouds
100,Paamiut,GL,61.99,-49.67,44.35,81,0,4.27,clear sky
101,Ponta Do Sol,PT,32.67,-17.1,73.4,83,75,11.41,broken clouds
102,East London,ZA,-33.02,27.91,55.4,54,4,9.17,clear sky
103,Yellowknife,CA,62.46,-114.35,52.0,71,75,10.29,broken clouds
104,Coahuayana,MX,18.73,-103.68,78.96,83,100,0.76,light rain
105,Broken Hill,AU,-31.95,141.43,55.4,37,40,25.28,scattered clouds
106,Kahului,US,20.89,-156.47,82.4,61,40,19.46,scattered clouds
107,Niigata,JP,37.9,139.02,84.2,79,40,10.29,scattered clouds
108,Challans,FR,46.84,-1.87,64.99,93,2,4.7,clear sky
109,Bongandanga,CD,1.5,21.05,69.4,97,51,2.1,broken clouds
110,Ofunato,JP,39.07,141.72,86.0,62,40,5.82,scattered clouds
111,Itaueira,BR,-7.6,-43.03,76.3,41,4,6.38,clear sky
112,Bredasdorp,ZA,-34.53,20.04,39.2,93,0,3.36,clear sky
113,Thaba Nchu,ZA,-29.21,26.84,28.4,68,0,2.24,clear sky
114,Kamenka,RU,51.32,42.77,53.01,74,57,3.0,broken clouds
115,Sao Felix Do Xingu,BR,-6.64,-51.99,80.73,29,69,1.07,broken clouds
116,Nikolskoye,RU,59.7,30.79,60.01,72,94,4.88,overcast clouds
117,Norman Wells,CA,65.28,-126.83,62.6,51,75,11.41,broken clouds
118,Cabildo,AR,-38.48,-61.9,44.01,44,0,13.06,clear sky
119,Port Macquarie,AU,-31.43,152.92,61.0,39,75,21.92,broken clouds
120,Adiake,CI,5.29,-3.3,75.2,94,75,8.05,broken clouds
121,Touba,CI,8.28,-7.68,68.76,97,97,6.11,overcast clouds
122,Carnarvon,AU,-24.87,113.63,75.2,50,48,10.29,scattered clouds
123,Boromo,BF,11.75,-2.93,74.23,92,100,5.53,overcast clouds
124,Semnan,IR,35.57,53.4,93.2,13,0,6.93,clear sky
125,Hit,IQ,33.64,42.83,81.39,40,0,14.76,clear sky
126,Kodiak,US,57.79,-152.41,66.2,59,1,8.05,clear sky
127,Muros,ES,42.78,-9.06,59.0,94,3,4.79,clear sky
128,Heihe,CN,50.24,127.49,73.4,64,40,8.95,scattered clouds
129,Roma,US,43.21,-75.46,64.99,82,1,3.36,clear sky
130,Shirokiy,RU,49.76,129.52,66.6,72,97,6.13,overcast clouds
131,Vao,NC,-22.67,167.48,72.0,70,90,5.82,overcast clouds
132,Shubarshi,KZ,48.59,57.19,63.9,46,80,11.97,broken clouds
133,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,76.32,67,5,1.21,clear sky
134,Lasa,IT,46.62,10.7,59.0,100,75,1.12,broken clouds
135,Pavilosta,LV,56.89,21.19,66.2,100,100,4.7,overcast clouds
136,Tsiroanomandidy,MG,-18.77,46.03,64.24,69,64,3.91,broken clouds
137,Vaini,TO,-21.2,-175.2,78.8,88,40,8.05,scattered clouds
138,Fairbanks,US,64.84,-147.72,69.8,64,40,3.36,scattered clouds
139,Mount Gambier,AU,-37.83,140.77,51.8,66,40,23.04,scattered clouds
140,Asosa,ET,10.07,34.53,61.77,100,100,0.74,overcast clouds
141,Port Elizabeth,ZA,-33.92,25.57,39.2,93,7,3.36,clear sky
142,Mareeba,AU,-17.0,145.43,88.0,40,19,5.01,few clouds
