City_ID,City,Country,Max Temp,Discription,Lat,Lng,Hotel Name
338,Mahebourg,MU,73.4,few clouds,-20.41,57.7,Le Peninsula Bay Beach Resort & Spa
342,Surt,LY,78.78,clear sky,31.21,16.59,City Hotel
351,Iglesias,IT,77.0,scattered clouds,39.31,8.54,Hotel Sport Village
352,Los Llanos De Aridane,ES,73.4,clear sky,28.66,-17.92,Valle Aridane
355,Raybag,IN,77.77,overcast clouds,16.48,74.78,ಜೈ ರಾಯಣ್ಣ ನಗರ ದರ್ಮಟಿ ತೋಟ
360,Youkounkoun,GN,73.54,moderate rain,12.53,-13.13,
361,Iracoubo,GF,79.02,clear sky,5.48,-53.2,Le Gite D Iracoubo
362,Hervey Bay,AU,79.0,clear sky,-25.3,152.85,Shelly Bay Resort
363,Marienburg,PL,70.0,broken clouds,54.04,19.03,Hotel Centrum Malbork
369,Omboue,GA,73.71,overcast clouds,-1.57,9.26,Hotel Olako
370,Bonthe,SL,76.19,light rain,7.53,-12.51,Bonthe Holiday Village
372,Warwick,US,73.0,broken clouds,41.7,-71.42,Hampton Inn & Suites Providence/Warwick-Airport
374,Sarkand,KZ,78.21,broken clouds,45.41,79.92,Гостиница Сарканд
375,Vanavara,RU,70.99,overcast clouds,60.34,102.28,Russia
379,Kismayo,SO,76.77,broken clouds,-0.36,42.55,Agan-Hotel
380,Amol,IR,77.0,broken clouds,36.47,52.35,Shahr Hotel
390,Laguna Woods,US,78.01,broken clouds,33.61,-117.73,Laguna Hills Lodge
394,Dongfeng,CN,76.44,light rain,42.64,125.51,Home Inn
395,Faanui,PF,77.4,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
401,Kilindoni,TZ,75.94,few clouds,-7.91,39.67,Bustani B&B
404,Sinnamary,GF,78.19,clear sky,5.38,-52.95,ALETHEIA Appartement Sinnamary
405,Saint Anthony,US,73.4,moderate rain,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
406,Estelle,US,79.0,thunderstorm,29.85,-90.11,Comfort Inn Marrero - New Orleans West
407,Camocim,BR,75.16,scattered clouds,-2.9,-40.84,Hotel Ilha do Amor
409,Barra Patuca,HN,77.67,overcast clouds,15.8,-84.28,
411,Vitim,RU,72.72,few clouds,59.45,112.56,Gostinitsa V Apteke
414,Almenara,BR,70.74,overcast clouds,-16.18,-40.69,Pousada Sol Nascente 1
419,Nicoya,CR,74.41,moderate rain,10.15,-85.45,Guayacan Real
421,Lodwar,KE,76.87,clear sky,3.12,35.6,Turkwel Lodge
423,Vila Franca Do Campo,PT,71.6,scattered clouds,37.72,-25.43,Pestana Bahia Praia
428,Paragominas,BR,73.33,scattered clouds,-2.97,-47.48,HOTEL RODA VIVA
430,Hailar,CN,76.24,overcast clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
431,Boguchany,RU,75.09,broken clouds,58.38,97.45,Uyut
432,Kailahun,SL,70.7,overcast clouds,8.28,-10.57,MAWAC Guesthouse
434,Byron Bay,AU,70.0,scattered clouds,-28.65,153.62,Backpackers Inn on the Beach
440,Arvi,IN,77.61,overcast clouds,20.98,78.23,Geet shirbhate
444,Kathmandu,NP,77.0,broken clouds,27.72,85.32,Hotel Shanker Kathmandu
445,Chifeng,CN,79.34,few clouds,42.27,118.96,Junyu Tiancheng Hotel
446,Saint-Philippe,RE,72.0,broken clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
449,Timucuy,MX,78.01,few clouds,20.82,-89.52,Hacienda mucuyche
453,Salalah,OM,77.0,haze,17.02,54.09,HAMDAN PLAZA HOTEL
458,Novara,IT,77.0,scattered clouds,45.59,8.58,Hotel Oleggio Malpensa
463,Alexandria,EG,78.8,few clouds,31.22,29.96,Royal Crown Hotel
466,Jalu,LY,74.39,clear sky,29.03,21.55,Jalu Hotel
468,Ouango,CF,70.66,light rain,4.31,22.56,
480,Kapoeta,SS,76.28,clear sky,4.77,33.59,Eastgate Hotel
484,Awjilah,LY,73.74,clear sky,29.11,21.29,
488,Huangchuan,CN,78.6,overcast clouds,32.13,115.04,Guangzhou International Hotel
489,Kabalo,CD,72.75,scattered clouds,-6.05,26.92,
490,Papara,BR,78.01,overcast clouds,-3.98,-38.73,Bela vista Maranguape
492,Ciudad Bolivar,VE,75.87,moderate rain,8.12,-63.55,Hotel Edi
493,Nkan,GA,75.2,broken clouds,0.38,9.78,Hôtel Santa Barbara
494,Gamba,GA,72.16,broken clouds,-2.65,10.0,
497,Awbari,LY,73.4,clear sky,26.59,12.78,فندق أوباري
501,Mengyin,CN,78.28,overcast clouds,35.71,117.93,Jinmengyuan Hotel
507,Luanda,AO,70.79,overcast clouds,-8.84,13.23,EPIC SANA Luanda
510,Cayenne,GF,75.2,few clouds,4.93,-52.33,Hôtel Le Dronmi
516,Paslek,PL,70.0,few clouds,54.06,19.66,Rooms
517,Guanare,VE,73.53,heavy intensity rain,9.04,-69.74,Nuevo Hotel Coromoto
522,Angoche,MZ,72.91,light rain,-16.23,39.91,Guest House HESADA
531,Miranda,CO,71.6,broken clouds,3.25,-76.23,Parqueadero toño lasso
532,Guane,CU,78.24,light rain,22.2,-84.09,base de Campismo LosPortales de Guane
534,Hirara,JP,78.8,light intensity shower rain,24.8,125.28,Hotel Atoll Emerald Miyakojima
537,Mahajanga,MG,71.6,scattered clouds,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
540,Saryg-Sep,RU,73.15,scattered clouds,51.5,95.6,
545,Garissa,KE,72.18,scattered clouds,-0.45,39.64,Sharif Plaza Hotel
